Precio,Habitaciones,Baños,Parqueos,Sector,Condicion,Uso Actual,mt2,Piso/Nivel,Ascensor,Edificable,Agno Construccion,Planta Electrica,Seguridad 24 Horas,Control de Acceso,Piscina,Gimnasio,Medio baño
950.0,1,2,1, El Millón,Segundo Uso,Residencial,73.0,5,True,False,2022,False,False,False,True,True,False
10639.999999999985,4,4,5, Av. Anacaona,Segundo Uso,Residencial,611.0,9,True,False,2020,True,True,True,True,True,True
10639.999999999985,3,4,4, Av. Anacaona,Segundo Uso,Residencial,598.0,9,True,False,2020,True,True,True,True,True,True
10639.999999999985,3,4,2, Av. Anacaona,Segundo Uso,Residencial,598.0,9,True,False,2020,True,True,True,True,True,True
10639.999999999985,4,4,4, Av. Anacaona,Nueva,Residencial,615.0,14,True,False,2023,True,True,True,True,False,True
10639.999999999985,4,4,4, Los Cacicazgos,Segundo Uso,Residencial,650.0,6,True,False,2023,True,True,False,True,True,True
10000.0,4,4,3, Av. Anacaona,Nueva,Residencial,485.0,8,True,False,2022,True,True,True,True,True,True
10500.0,3,3,4, Av. Anacaona,Segundo Uso,Residencial,608.0,20,True,False,2020,False,False,False,True,False,True
9000.0,4,4,5, Los Cacicazgos,Segundo Uso,Residencial,854.0,6,True,False,2023,True,True,True,True,True,True
9500.0,4,5,5, Av. Anacaona,Segundo Uso,Residencial,869.0,9,True,False,2008,True,True,True,True,True,False
5000.0,3,3,4, Ensanche Paraíso,Segundo Uso,Residencial,520.0,5,True,False,2020,True,True,True,True,True,True
8000.0,4,4,6, Av. Anacaona,Segundo Uso,Residencial,864.0,4,True,False,2020,True,True,True,True,True,True
10000.0,4,4,5, Av. Anacaona,Segundo Uso,Residencial,554.0,9,True,False,2020,True,True,False,True,True,True
6000.0,3,4,3, Gazcue,Remodelada,Residencial,536.0,10,True,True,2022,True,True,True,False,True,False
6500.0,3,3,3, Los Cacicazgos,Segundo Uso,Residencial,400.0,11,True,False,2017,True,True,True,True,True,True
5900.0,3,3,3, Mirador Sur,Nueva,Residencial,150.5397022332506,3,True,False,2020,True,True,True,True,True,True
5800.0,3,3,4, Ensanche Naco,Segundo Uso,Residencial,624.0,6,True,False,2023,True,True,True,True,True,True
6500.0,3,3,4, Los Cacicazgos,Segundo Uso,Residencial,460.0,6,True,False,2023,True,True,True,True,True,True
4500.0,3,3,4, Los Cacicazgos,Segundo Uso,Residencial,500.0,6,True,False,2023,True,True,True,False,True,True
3800.0,3,3,3, Los Cacicazgos,Segundo Uso,Residencial,150.5397022332506,6,True,False,2023,True,True,True,True,True,True
10639.999999999985,3,3,3, Autopista Duarte,Segundo Uso,Mixto,670.0,5,False,False,2023,True,False,False,False,False,True
4500.0,3,3,6, La Esperilla,Segundo Uso,Residencial,441.0,15,False,False,2021,False,False,False,True,True,True
4500.0,3,3,6, La Esperilla,Segundo Uso,Residencial,441.0,15,True,False,2021,False,False,False,True,True,True
5500.0,3,3,3, Ensanche Naco,Segundo Uso,Residencial,290.0,2,False,False,2023,True,True,False,False,False,True
4000.0,3,3,2, Av. Anacaona,Nueva,Residencial,150.5397022332506,9,False,False,2020,False,False,False,True,False,True
4000.0,3,3,3, Los Cacicazgos,Segundo Uso,Residencial,382.0,6,False,False,2023,True,True,False,True,True,True
4000.0,3,3,3, Los Cacicazgos,Nueva,Residencial,150.5397022332506,7,False,False,2023,False,False,False,True,False,False
4000.0,3,3,3, Los Cacicazgos,Segundo Uso,Residencial,382.0,7,True,False,2023,False,True,True,True,True,True
3000.0,3,3,4, Ensanche Naco,Nueva,Residencial,258.0,15,True,False,2022,True,True,True,True,True,True
3800.0,3,3,2, Los Cacicazgos,Remodelada,Residencial,235.0,6,True,False,2023,True,True,True,True,True,True
3800.0,3,3,2, Av. Anacaona,Remodelada,Residencial,235.0,17,True,False,2020,True,True,True,True,True,True
4000.0,3,3,3, Av. Anacaona,Remodelada,Residencial,280.0,9,True,False,2020,True,True,True,True,True,True
4600.0,3,5,3, Los Cacicazgos,Nueva,Residencial,274.0,3,True,False,2023,True,True,True,True,True,True
4200.0,3,3,4, Av. Anacaona,Segundo Uso,Residencial,260.0,15,True,False,2020,True,True,True,True,True,True
3000.0,3,3,4, Ensanche Naco,Nueva,Residencial,276.0,16,True,False,2022,True,True,True,True,True,True
3500.0,3,3,2, Malecón,Segundo Uso,Residencial,352.0,14,True,False,2019,True,True,False,True,True,True
2500.0,3,3,3, Mirador Sur,En Construcción,Residencial,290.0,7,True,False,2020,True,True,True,False,False,True
3900.0,3,3,3, Piantini,Nueva,Residencial,225.0,14,True,False,2020,True,True,True,True,True,True
2800.0,3,3,2, Bella Vista,Segundo Uso,Residencial,239.0,5,False,False,2023,False,False,False,True,False,True
2300.0,3,3,3, Los Cacicazgos,Segundo Uso,Residencial,276.0,16,True,False,2023,True,True,True,True,True,True
3800.0,3,3,2, Los Cacicazgos,Segundo Uso,Residencial,202.0,14,True,False,2023,True,True,True,True,True,True
2500.0,3,3,2, Los Cacicazgos,Segundo Uso,Residencial,272.0,10,True,False,2023,True,True,True,True,True,False
3500.0,3,3,3, Piantini,Segundo Uso,Residencial,185.0,5,True,False,2021,True,True,False,True,True,True
3200.0,3,3,3, Piantini,Segundo Uso,Residencial,185.0,11,True,False,2021,True,True,True,True,True,True
2650.0,3,2,2, Bella Vista,Segundo Uso,Residencial,173.0,14,True,False,2023,True,True,True,True,True,True
3000.0,3,3,2, Av. Anacaona,Segundo Uso,Residencial,150.5397022332506,4,False,False,2020,False,True,False,False,False,True
2900.0,3,3,2, Bella Vista,Remodelada,Residencial,350.0,3,True,True,2023,True,True,False,False,True,True
3000.0,3,3,3, Piantini,Segundo Uso,Residencial,228.0,13,True,False,2021,True,True,True,True,True,True
3000.0,3,3,2, Enriquillo,Nueva,Residencial,256.0,7,True,False,2023,False,False,False,True,False,True
3500.0,3,3,2, Serrallés,Segundo Uso,Residencial,217.0,2,True,False,2019,True,True,True,True,True,True
3000.0,3,3,2, Piantini,Segundo Uso,Residencial,180.0,8,True,False,2018,True,True,True,True,True,True
4000.0,3,3,3, Piantini,Segundo Uso,Residencial,310.0,1,False,False,2021,True,True,False,False,False,True
3000.0,3,3,2, Los Cacicazgos,Nueva,Residencial,222.0,6,True,False,2023,True,True,True,True,True,True
2500.0,3,3,3, Ensanche Naco,Segundo Uso,Residencial,275.0,4,True,False,2023,True,True,True,True,True,True
2500.0,3,3,3, Evaristo Morales,Remodelada,Residencial,258.0,6,True,False,2022,True,True,True,True,True,True
2500.0,3,3,3, Evaristo Morales,Segundo Uso,Residencial,258.0,5,True,False,2022,True,False,False,True,True,False
2500.0,3,3,3, Evaristo Morales,Segundo Uso,Residencial,258.0,6,True,False,2022,True,True,True,True,True,True
2500.0,3,3,3, Evaristo Morales,Remodelada,Residencial,222.0,5,True,False,2022,False,False,True,True,True,True
2800.0,3,3,2, Malecón,Segundo Uso,Residencial,198.0,8,True,False,2021,True,True,True,True,True,True
2500.0,3,3,2, Evaristo Morales,Segundo Uso,Residencial,222.0,5,True,False,2022,True,True,True,True,True,True
2200.0,3,3,2, Piantini,Segundo Uso,Residencial,215.0,5,True,False,2021,True,True,True,True,True,True
3700.0,3,3,3, Urb. Real,Nueva,Residencial,222.0,8,True,False,2023,True,True,True,True,True,True
2500.0,3,3,3, Ensanche Naco,Segundo Uso,Residencial,270.0,6,True,False,2020,True,True,True,False,False,True
2500.0,3,3,3, Evaristo Morales,Segundo Uso,Residencial,222.0,5,False,False,2022,False,False,False,True,False,True
3000.0,2,2,2, Piantini,Nueva,Residencial,150.0,10,True,False,2021,True,True,False,True,True,True
3750.0,3,3,2, La Julia,Segundo Uso,Residencial,173.0,4,True,False,2021,False,False,False,True,True,True
3750.0,3,3,2, La Julia,Segundo Uso,Residencial,173.0,4,True,False,2021,True,True,False,True,True,True
2900.0,2,2,2, Bella Vista,Nueva,Residencial,240.0,5,True,False,2023,True,True,True,True,True,False
2500.0,3,3,2, Malecón,Segundo Uso,Residencial,352.0,14,True,False,2019,True,True,False,True,True,True
2600.0,2,2,2, Piantini,Segundo Uso,Residencial,130.0,16,True,False,2020,True,True,True,True,True,True
3500.0,3,3,2, Los Cacicazgos,Nueva,Residencial,184.0,2,True,False,2024,True,True,True,True,True,True
3500.0,3,3,2, Los Cacicazgos,Nueva,Residencial,200.0,3,True,False,2024,True,True,True,True,True,True
3000.0,3,3,2, Los Cacicazgos,Nueva,Residencial,211.0,2,True,False,2024,True,True,True,True,True,True
2600.0,2,2,2, Bella Vista,Segundo Uso,Residencial,150.5397022332506,2,True,False,2023,True,True,True,True,True,False
2600.0,2,2,2, Bella Vista,Nueva,Mixto,150.5397022332506,2,True,False,2023,False,False,False,True,True,True
2900.0,2,2,2, Bella Vista,Nueva,Residencial,150.5397022332506,5,True,False,2023,True,True,True,True,True,False
2900.0,2,2,2, Bella Vista,Nueva,Residencial,150.5397022332506,2,True,False,2023,True,True,True,True,True,False
