iter	RMSE
0	1.004013376
1	0.9851793456
2	0.9662845809
3	0.9501548826
4	0.9335881537
5	0.9175243025
6	0.9023720777
7	0.8873949186
8	0.8754533281
9	0.8599871134
10	0.8465252671
11	0.8346413618
12	0.822850367
13	0.8122828268
14	0.8008320344
15	0.7898291938
16	0.7787779864
17	0.7693992441
18	0.7588703628
19	0.7506617275
20	0.7442595416
21	0.7358390405
22	0.7271407037
23	0.7192121363
24	0.7123580432
25	0.7069195324
26	0.6994744808
27	0.6930569457
28	0.6868961724
29	0.6810478353
30	0.675714316
31	0.6710310089
32	0.6659438763
33	0.6596251071
34	0.6546259009
35	0.6490236871
36	0.6445287604
37	0.6405184467
38	0.6350540862
39	0.6316561259
40	0.6284527327
41	0.6244906543
42	0.6212787259
43	0.6179204842
44	0.6145376462
45	0.6109007336
46	0.6070032957
47	0.603362722
48	0.6005170609
49	0.5979131469
50	0.5947146225
51	0.591280078
52	0.5882973399
53	0.5861944794
54	0.5838098492
55	0.5816292945
56	0.5793919887
57	0.5771497761
58	0.5744635825
59	0.5722509848
60	0.5694491959
61	0.5664661902
62	0.5648759017
63	0.56231544
64	0.5604750378
65	0.5575987708
66	0.5554128695
67	0.553626556
68	0.5516299192
69	0.5500059121
70	0.5487697632
71	0.5470033953
72	0.5460454696
73	0.5448000713
74	0.5437320561
75	0.5421978442
76	0.5408835516
77	0.5389922938
78	0.5376340847
79	0.5355842085
80	0.5338332815
81	0.532744408
82	0.5317426186
83	0.5306146895
84	0.5293842829
85	0.5286315447
86	0.5273677201
87	0.5259402028
88	0.5246382002
89	0.5222798337
90	0.5210015664
91	0.5199582151
92	0.5193832449
93	0.518221891
94	0.5174519161
95	0.5158178886
96	0.5143328187
97	0.5135317522
98	0.5126228783
99	0.511660072
100	0.5106603137
101	0.5095291204
102	0.5085429098
103	0.5073669737
104	0.5065768752
105	0.5057087401
106	0.5051109171
107	0.5043616741
108	0.5037944697
109	0.5032655978
110	0.5024019171
111	0.5010279887
112	0.5005897629
113	0.4999715835
114	0.499351947
115	0.4977636073
116	0.4966410685
117	0.4963623281
118	0.4958262375
119	0.4946712401
120	0.4943963031
121	0.4933764854
122	0.4926957238
123	0.4923727578
124	0.4920084744
125	0.4909853914
126	0.4903822993
127	0.4899820386
128	0.4892267289
129	0.4883841749
130	0.487957147
131	0.4875587836
132	0.4866989178
133	0.486170654
134	0.4859019334
135	0.4848187153
136	0.4844735448
137	0.4839170377
138	0.4831013368
139	0.4827571908
140	0.4820263052
141	0.4817207475
142	0.4807153535
143	0.480161451
144	0.4797718928
145	0.478856367
146	0.4786520038
147	0.4779019283
148	0.4767842351
149	0.4764626166
150	0.4754309424
151	0.4750121744
152	0.4747137955
153	0.4739225118
154	0.4732573767
155	0.4728843509
156	0.4725819254
157	0.471778735
158	0.471211022
159	0.4706049629
160	0.4700455764
161	0.469690377
162	0.4693544144
163	0.4688676614
164	0.4682747161
165	0.4679467521
166	0.4677494883
167	0.4671302147
168	0.4663228984
169	0.465952178
170	0.4654720415
171	0.4644976702
172	0.4639675015
173	0.4634292045
174	0.462282338
175	0.4613503597
176	0.4607697367
177	0.4605322241
178	0.4601636091
179	0.4597731014
180	0.4595433881
181	0.4592955816
182	0.4583389225
183	0.4579137544
184	0.4572029422
185	0.4567875026
186	0.4565319569
187	0.4562911345
188	0.4555803066
189	0.4545704638
190	0.4543367403
191	0.454110613
192	0.4538875839
193	0.4537022836
194	0.4535180841
195	0.4530150243
196	0.452340998
197	0.4519108663
198	0.4516667304
199	0.4514779784
200	0.4508629903
201	0.4506512107
202	0.4504997151
203	0.4503358824
204	0.4501465332
205	0.4489518337
206	0.4482002085
207	0.4476887688
208	0.4474986388
209	0.4473255298
210	0.4466512646
211	0.4464625391
212	0.4462678451
213	0.4454074596
214	0.4450447411
215	0.4448491629
216	0.4443794227
217	0.443607336
218	0.4432337389
219	0.4422839518
220	0.442100636
221	0.4413682332
222	0.4412359751
223	0.4408780643
224	0.4400864404
225	0.439154849
226	0.438989144
227	0.4388109549
228	0.4386482065
229	0.4380638772
230	0.4372140949
231	0.4370277692
