iter	Passed	Remaining
0	1	1554
1	2	1369
2	4	1344
3	5	1301
4	6	1312
5	8	1355
6	9	1374
7	10	1360
8	12	1353
9	14	1390
10	15	1375
11	16	1367
12	18	1374
13	19	1397
14	21	1382
15	22	1378
16	23	1380
17	25	1373
18	26	1369
19	27	1360
20	29	1366
21	30	1368
22	31	1358
23	33	1356
24	34	1354
25	36	1348
26	37	1337
27	38	1330
28	39	1336
29	41	1336
30	42	1333
31	43	1325
32	45	1327
33	46	1328
34	47	1323
35	49	1323
36	50	1322
37	52	1327
38	53	1326
39	55	1322
40	56	1317
41	57	1310
42	58	1308
43	60	1307
44	61	1307
45	62	1303
46	64	1299
47	65	1298
48	66	1298
49	68	1299
50	69	1299
51	71	1299
52	73	1304
53	74	1301
54	75	1298
55	76	1295
56	78	1295
57	79	1293
58	80	1291
59	82	1291
60	83	1286
61	85	1287
62	86	1286
63	87	1284
64	89	1280
65	90	1276
66	92	1283
67	93	1282
68	94	1279
69	96	1276
70	97	1275
71	99	1276
72	100	1272
73	101	1267
74	102	1263
75	103	1258
76	105	1260
77	106	1257
78	107	1256
79	108	1252
80	110	1249
81	111	1250
82	113	1249
83	114	1245
84	115	1242
85	116	1239
86	118	1240
87	119	1238
88	120	1236
89	121	1232
90	123	1230
91	125	1234
92	126	1235
93	127	1232
94	129	1229
95	130	1227
96	131	1224
97	132	1222
98	133	1219
99	135	1216
100	136	1213
101	137	1211
102	138	1209
103	140	1206
104	141	1206
105	142	1202
106	144	1201
107	145	1200
108	146	1197
109	147	1194
110	148	1190
111	149	1188
112	151	1185
113	152	1183
114	153	1179
115	154	1176
116	156	1177
117	157	1176
118	158	1175
119	160	1174
120	161	1171
121	162	1168
122	163	1167
123	164	1164
124	166	1162
125	167	1159
126	168	1157
127	169	1155
128	172	1161
129	173	1159
130	174	1157
131	175	1154
132	176	1153
133	178	1151
134	179	1150
135	181	1151
136	182	1149
137	183	1148
138	185	1147
139	186	1146
140	188	1145
141	189	1146
142	191	1145
143	192	1146
144	194	1145
145	196	1146
146	197	1144
147	198	1142
148	199	1141
149	201	1140
150	215	1211
151	216	1209
152	217	1206
153	219	1204
154	220	1201
155	221	1198
156	223	1198
157	224	1196
158	225	1193
159	226	1190
160	228	1188
161	229	1187
162	230	1184
163	231	1181
164	232	1178
165	234	1177
166	235	1174
167	236	1172
168	237	1170
169	239	1167
170	240	1165
171	241	1162
172	243	1162
173	244	1161
174	245	1158
175	247	1156
176	248	1155
177	250	1155
178	251	1153
179	252	1150
180	253	1147
181	254	1145
182	256	1144
183	257	1142
184	258	1140
185	260	1138
186	261	1135
187	262	1134
188	263	1131
189	264	1129
190	266	1127
191	267	1126
192	269	1125
193	270	1123
194	271	1121
195	273	1120
196	274	1118
197	275	1117
198	277	1115
199	278	1113
200	279	1111
201	281	1110
202	282	1109
203	283	1107
204	285	1106
205	286	1105
206	288	1103
207	289	1103
208	291	1102
209	292	1101
210	294	1100
211	295	1099
212	297	1098
213	298	1096
214	303	1109
215	305	1107
216	306	1106
217	308	1106
218	309	1105
219	311	1103
220	313	1103
221	314	1103
222	316	1103
223	318	1102
224	319	1101
225	321	1101
226	322	1099
227	324	1098
228	325	1096
229	327	1095
230	329	1097
231	331	1096
232	332	1095
233	335	1098
234	337	1098
235	339	1097
236	340	1097
237	342	1096
238	343	1094
239	345	1093
240	347	1093
241	349	1093
242	350	1092
243	352	1090
244	353	1089
245	355	1088
246	357	1088
247	358	1087
248	360	1087
249	362	1087
250	363	1085
251	365	1084
252	366	1083
253	368	1082
254	369	1080
255	371	1078
256	372	1076
257	374	1075
258	375	1074
259	377	1074
260	378	1072
261	380	1072
262	382	1071
263	383	1069
264	384	1067
265	386	1066
266	388	1065
267	389	1064
268	391	1064
269	393	1063
270	394	1061
271	396	1060
272	397	1058
273	398	1056
274	400	1055
275	402	1054
276	403	1053
277	404	1051
278	406	1051
279	408	1050
280	409	1048
281	411	1047
282	413	1046
283	414	1045
284	416	1043
285	417	1042
286	419	1041
287	420	1040
288	422	1039
289	423	1037
290	425	1036
291	426	1034
292	428	1033
293	429	1032
294	431	1030
295	432	1029
296	434	1028
297	435	1026
298	437	1026
299	439	1025
300	441	1024
301	442	1023
302	444	1021
303	445	1020
304	447	1019
305	448	1018
306	450	1016
307	452	1015
308	453	1015
309	455	1013
310	456	1012
311	458	1010
312	460	1009
313	461	1008
314	462	1006
315	464	1005
316	465	1003
317	467	1002
318	468	1001
319	470	999
320	471	998
321	473	996
322	475	995
323	476	994
324	478	993
325	479	991
326	481	990
327	482	988
328	484	987
329	486	987
330	487	985
331	488	983
332	490	982
333	492	981
334	494	981
335	495	979
336	497	978
337	498	976
338	499	974
339	501	972
340	502	971
341	504	969
342	505	968
343	507	967
344	508	965
345	509	963
346	511	962
347	512	960
348	513	958
349	515	956
350	516	955
351	518	954
352	519	951
353	520	950
354	522	948
355	523	946
356	524	945
357	526	943
358	527	941
359	528	940
360	530	939
361	532	938
362	533	936
363	535	934
364	536	933
365	538	932
366	539	931
367	541	929
368	542	927
369	543	925
370	544	923
371	546	921
372	547	920
373	549	919
374	550	917
375	551	916
376	553	914
377	554	912
378	555	910
379	556	908
380	557	906
381	558	904
382	560	902
383	561	900
384	562	899
385	564	897
386	565	895
